X,Y,NAME_LONG,ISO_A3,X_CENTER,Y_CENTER
34.286573441744537,48.364858186483346,Ukraine,UKR,31.370000000000001,48.969999999999999
-56.0,-32.78,Uruguay,URY,-56.000000000000000,-32.780000000000001
-94.006844308878641,39.156112359419666,United States,USA,-112.599999999999990,45.710000000000001
63.2,41.75,Uzbekistan,UZB,63.200000000000003,41.750000000000000
-66.16,7.16,Venezuela,VEN,-66.159999999999997,7.160000000000000
109.02428760163552,13.492706143490553,Vietnam,VNM,106.290000000000010,16.660000000000000
167.07,-15.54,Vanuatu,VUT,167.069999999999990,-15.539999999999999
47.08428539972742,14.76661318776047,Yemen,YEM,47.539999999999999,15.910000000000000
25.05,-28.95,South Africa,ZAF,25.050000000000001,-28.949999999999999
27.73,-13.4,Zambia,ZMB,27.730000000000000,-13.400000000000000
29.79,-18.91,Zimbabwe,ZWE,29.789999999999999,-18.910000000000000
